t,s1,t1,s2,t2,s3,t3,s4,t4
62,3,1,0,0,0,0,2,2
62,1,1,0,0,0,0,0,0
63,1,1,3,2,0,0,3,2
63,0,0,0,0,0,0,2,3
64,1,1,0,0,0,0,2,3
64,1,1,0,0,0,0,3,2
64,0,0,0,0,0,0,2,3
64,0,0,0,0,0,0,3,2
65,2,2,3,2,0,0,3,2
65,0,0,2,3,0,0,0,0
66,3,2,0,0,0,0,3,1
66,2,2,0,0,0,0,0,0
67,3,2,1,1,0,0,1,1
67,2,3,1,1,0,0,0,0
67,3,3,0,0,0,0,0,0
67,3,2,0,0,0,0,0,0
67,2,3,0,0,0,0,0,0
67,3,4,0,0,0,0,0,0
68,1,1,1,1,0,0,0,0
68,1,1,1,2,0,0,0,0
68,1,1,2,2,0,0,0,0
68,1,1,2,3,0,0,0,0
68,1,1,0,0,0,0,0,0
68,1,1,0,0,0,0,0,0
69,2,2,0,0,0,0,1,1
69,2,3,0,0,0,0,1,1
69,3,2,0,0,0,0,1,1
69,0,0,0,0,0,0,1,2
70,2,3,2,3,0,0,0,0
70,3,2,3,2,0,0,0,0
70,2,3,0,0,0,0,0,0
70,3,3,0,0,0,0,0,0
70,3,2,0,0,0,0,0,0
71,0,0,0,0,0,0,2,3
72,3,1,3,2,0,0,2,3
72,0,0,0,0,0,0,3,2
72,0,0,0,0,0,0,2,3
72,0,0,0,0,0,0,3,2
73,1,1,3,2,0,0,3,2
73,0,0,2,3,0,0,2,3
74,1,1,0,0,0,0,0,0
74,1,1,0,0,0,0,0,0
74,1,1,0,0,0,0,0,0
74,1,2,0,0,0,0,0,0
75,2,3,0,0,0,0,2,3
75,3,2,0,0,0,0,3,1
76,2,3,2,3,0,0,1,1
76,3,2,3,3,0,0,1,1
76,0,0,3,4,0,0,0,0
76,0,0,4,1,0,0,0,0
77,0,0,1,1,0,0,1,1
77,0,0,0,0,0,0,1,1
77,0,0,0,0,0,0,1,2
78,3,3,0,0,1,2,0,0
78,3,2,0,0,2,3,0,0
79,3,4,1,1,0,0,2,3
79,4,1,1,2,0,0,3,2
79,1,1,2,2,0,0,2,3
79,1,1,0,0,0,0,3,2
80,1,1,0,0,2,3,0,0
80,1,1,0,0,3,4,0,0
80,1,1,0,0,0,0,0,0
80,1,2,0,0,0,0,0,0
80,2,2,0,0,0,0,0,0
80,2,3,0,0,0,0,0,0
81,2,2,3,2,0,0,0,0
81,2,3,0,0,0,0,0,0
82,2,3,3,2,0,0,3,2
82,3,3,0,0,0,0,2,3
82,3,2,0,0,0,0,3,2
82,2,3,0,0,0,0,2,3
82,3,1,0,0,0,0,0,0
82,1,1,0,0,0,0,0,0
82,1,1,0,0,0,0,0,0
83,1,1,3,2,0,0,2,3
83,1,1,2,3,0,0,3,1
83,1,1,0,0,0,0,1,2
83,1,2,0,0,0,0,0,0
83,2,2,0,0,0,0,0,0
84,0,0,0,0,0,0,3,4
85,3,2,2,3,0,0,1,1
85,2,2,3,2,0,0,1,1
85,2,3,0,0,0,0,1,1
85,3,2,0,0,0,0,1,1
86,0,0,0,0,0,0,1,1
86,0,0,0,0,0,0,1,2
87,3,3,0,0,0,0,2,3
87,3,2,0,0,0,0,3,2
87,2,3,0,0,0,0,2,3
87,3,4,0,0,0,0,0,0
87,4,1,0,0,0,0,0,0
87,1,1,0,0,0,0,0,0
87,1,1,0,0,0,0,0,0
88,1,1,0,0,0,0,2,3
88,1,1,0,0,0,0,3,2
88,1,1,0,0,0,0,2,3
88,1,2,0,0,0,0,3,2
88,2,2,0,0,0,0,0,0
89,3,2,3,3,1,2,0,0
89,2,2,3,4,0,0,0,0
89,2,3,4,1,0,0,0,0
89,3,2,1,1,0,0,0,0
90,3,3,1,1,3,2,0,0
90,3,2,1,1,0,0,0,0
90,2,3,1,2,0,0,0,0
90,0,0,2,2,0,0,0,0
90,0,0,2,3,0,0,0,0
91,1,1,0,0,3,4,3,2
