Trevor,Teleport Part,8:07:50
Trevor,Teleport Part,8:07:51
Trevor,Teleport Part,8:27:10
Trevor,Teleport Part,8:28:36
Trevor,Teleport Part,8:30:29
Trevor,Teleport Part,8:30:30
Trevor,Teleport Part,8:34:38
Trevor,Teleport Part,8:47:17
Trevor,Teleport Part,8:47:17
Trevor,Teleport Part,8:47:17
Trevor,Teleport Part,8:47:32
Trevor,Spawn Pieces,8:47:40
Trevor,Spawn Pieces,8:47:40
Trevor,Spawn Pieces,8:47:40
Trevor,Spawn Pieces,8:47:40
Trevor,Spawn Pieces,8:47:40
Trevor,Spawn Pieces,8:47:40
Trevor,Spawn Pieces,8:47:41
Trevor,Teleport Part,8:47:54
Trevor,Teleport Part,8:47:58
Trevor,Teleport Part,8:49:27
Trevor,Teleport Part,8:49:28
Trevor,Teleport Part,8:49:28
Trevor,Teleport Part,8:49:51
Trevor,Spawn Pieces,8:51:13
Trevor,Spawn Pieces,8:51:13
Trevor,Teleport Part,8:51:27
Trevor,Teleport Part,8:51:27
Trevor,Teleport Part,8:51:28
Trevor,Teleport Part,8:51:28
Trevor,Teleport Part,8:51:29
Trevor,Teleport Part,8:51:39
Trevor,Teleport Part,8:51:40
Trevor,Teleport Part,8:51:40
Trevor,Teleport Part,8:54:46
