player,action,time_stamp
player3,SpawnPart,0.2780078367906483
player4,SpawnPart,0.341627524569716
player2,SpawnPart,0.36890360359463287
player1,SpawnPart,0.37551185123510833
player2,SpawnPart,0.6431713931239362
player4,SpawnPart,0.8061841706112596
player2,SpawnPart,0.855881854786678
player2,SpawnPart,0.856784218612083
player4,SpawnPart,1.0670012604405765
player3,SpawnPart,1.15253197518313
player3,SpawnPart,1.1695098965352
player4,SpawnPart,1.2524890491972858
player4,SpawnPart,1.3921828356988748
player2,SpawnPart,1.4529814671796353
player3,SpawnPart,1.7646110883869315
player2,SpawnPart,1.793001922046405
player4,SpawnPart,1.8236332584843684
player2,SpawnPart,1.9119168481513165
player3,SpawnPart,1.989020288958705
player4,SpawnPart,2.1461524466264437
player4,TeleportPart,2.2974910564352284
player2,TeleportPart,2.406451827591315
player2,TeleportPart,2.5057378545780886
player3,SpawnPart,2.555640532756632
player3,SpawnPart,2.6220206505767014
player1,SpawnPart,2.786966734454345
player4,TeleportPart,3.297195681994466
player3,TeleportPart,3.5313324729235767
player4,Assemble,3.5325580814046837
player2,Assemble,3.709518967341835
player2,TeleportPart,3.738072092650749
player4,TeleportPart,4.1505369177010145
player2,TeleportPart,4.492543457728853
player1,SpawnPart,4.612023819013709
player4,TeleportPart,4.616282378598233
player3,TeleportPart,4.709727044311391
player3,Assemble,4.747597072863353
player4,Assemble,4.813413348177934
player4,TeleportPart,4.823222319513083
player3,TeleportPart,4.8552066422131395
player2,Assemble,4.999453503316449
player1,SpawnPart,5.1815798789284475
player2,TeleportPart,5.543416401490395
player3,TeleportPart,5.544370380354525
player3,Assemble,5.90816735545476
player3,TeleportPart,5.967829726841471
player2,Assemble,6.155951948591489
player3,Assemble,6.1901086853987985
player3,Assemble,6.50153643778268
player1,SpawnPart,6.675108854531966
player1,SpawnPart,6.690659951083388
player3,TeleportPart,6.822364223473971
player1,SpawnPart,6.880836460656826
player4,Assemble,7.0105613074978095
player1,TeleportPart,7.041362736723957
player2,Assemble,7.1853241451708385
player1,TeleportPart,7.187479124302993
player1,Assemble,7.48449362000405
player2,TeleportPart,8.153512216952226
player2,Assemble,8.45845263159232
player1,TeleportPart,8.888927229752257
player3,Assemble,8.95922905646719
player4,Assemble,9.260884389737363
player4,TeleportPart,9.261509168379522
player1,TeleportPart,9.264770002317753
player4,Assemble,9.350612811411812
player3,SpawnPart,9.547966972860271
player3,SpawnPart,9.814025479443412
player2,SpawnPart,9.917424864048394
player4,SpawnPart,10.206930028302004
player4,SpawnPart,10.288921644294003
player3,SpawnPart,10.310032537262586
player3,SpawnPart,10.381027117848898
player3,SpawnPart,10.405238670686321
player4,SpawnPart,10.56519545446461
