t,s1,t1,s2,t2,s3,t3,s4,t4
1,1,1,1,1,1,1,1,1
1,0,0,1,1,0,0,0,0
1,0,0,1,1,0,0,0,0
1,0,0,1,2,0,0,0,0
1,0,0,2,2,0,0,0,0
2,1,1,3,2,2,2,0,0
2,1,1,2,3,0,0,0,0
2,0,0,3,2,0,0,0,0
2,0,0,2,3,0,0,0,0
2,0,0,3,1,0,0,0,0
2,0,0,1,1,0,0,0,0
3,1,1,1,1,3,1,1,1
3,0,0,1,2,1,1,0,0
4,2,2,0,0,2,2,1,1
4,0,0,0,0,2,3,0,0
4,0,0,0,0,3,1,0,0
5,3,2,2,3,1,2,1,2
5,0,0,3,2,2,2,0,0
5,0,0,2,3,2,3,0,0
5,0,0,3,2,3,1,0,0
5,0,0,2,3,0,0,0,0
6,2,3,1,1,1,2,2,3
6,0,0,1,1,2,2,3,2
6,0,0,1,1,2,3,2,3
6,0,0,1,2,0,0,3,2
6,0,0,0,0,0,0,2,3
7,0,0,2,3,1,1,0,0
7,0,0,3,2,1,2,0,0
7,0,0,2,3,2,2,0,0
7,0,0,3,2,2,3,0,0
7,0,0,2,3,0,0,0,0
8,2,3,1,1,1,1,2,3
8,3,3,1,1,1,2,3,2
8,0,0,1,1,2,2,2,3
8,0,0,1,2,2,3,3,2
8,0,0,2,2,3,1,2,3
8,0,0,0,0,1,1,0,0
8,0,0,0,0,1,2,0,0
8,0,0,0,0,2,2,0,0
9,0,0,3,2,3,1,1,1
9,0,0,2,3,1,1,1,1
9,0,0,3,2,1,2,0,0
9,0,0,2,3,2,2,0,0
9,0,0,0,0,2,3,0,0
10,2,3,1,1,0,0,0,0
10,0,0,1,1,0,0,0,0
10,0,0,1,1,0,0,0,0
10,0,0,1,2,0,0,0,0
11,1,1,2,3,0,0,1,1
11,0,0,3,2,0,0,1,1
11,0,0,2,3,0,0,1,1
11,0,0,3,2,0,0,0,0
11,0,0,2,3,0,0,0,0
11,0,0,3,1,0,0,0,0
11,0,0,1,1,0,0,0,0
