player,item,time_stamp
player1,wheelset,14.71274252019122
player1,finish1,14.96274252019122
player1,wheelset,29.39918359320846
player1,finish1,29.552632015897768
player1,wheelset,38.985967095718166
player1,finish1,39.10130272601085
player1,wheelset,47.08861175793995
player1,finish1,47.182797431643294
player1,wheelset,53.34931646010174
player1,finish1,53.42980671636704
player1,wheelset,57.64997456477084
player1,finish1,57.720766846964
player1,wheelset,65.15568256313065
player1,finish1,65.21919279612437
player1,wheelset,69.39785651170297
player1,finish1,69.45566708398181
player2,base,1.5621923320466153
player2,base,4.762386085853442
player2,base,6.871236627274045
player2,base,8.892514472139997
player2,base,10.38540271604159
player2,base,12.091127145271143
player2,base,15.160640300488978
player2,front,24.159590308494554
player2,module2,27.447689183257715
player2,finish2,28.051172565313827
player2,base,30.057917083605982
player2,front,33.51041781169366
player2,module2,35.28291534579855
player2,finish2,35.43691882192529
player2,front,43.505426458106946
player2,module2,44.024771498580485
player2,finish2,44.219636909307454
player2,front,49.174511534089234
player2,module2,49.92873606254016
player2,finish2,49.97366739585539
player2,front,56.079648378195564
player2,module2,56.72133721556273
player2,finish2,56.90827389200913
player2,front,59.167669538639935
player2,module2,60.02792564271391
player2,finish2,60.072252198625456
player2,front,67.12040864900627
player2,module2,67.5747938639646
player2,finish2,67.65033189999798
player2,front,70.86155923136396
player2,module2,71.23794933591579
player2,finish2,71.31664884009668
player3,steer,2.6494721820905136
player3,steer,3.6564062084480313
player3,steer,4.858811620030683
player3,steer,5.9637860421815745
player3,steer,6.992160385787892
player3,steer,7.518150444705768
player3,steer,8.069704487906687
player3,steer,8.530043720100862
player3,module3,29.75813484081903
player3,finish3,29.788686905207435
player3,module3,37.572667348723236
player3,finish3,38.03876809996528
player3,module3,45.618235378581666
player3,finish3,45.6751878542265
player3,module3,51.06139235487996
player3,finish3,51.471623581549544
player3,module3,57.30302929598173
player3,finish3,57.39640643989554
player3,module3,60.84094076628288
player3,finish3,60.90128920805659
player3,module3,68.28030525110601
player3,finish3,68.28333285008034
player3,module3,71.72989152881438
player3,finish3,71.73768960149765
player4,body,7.922469431214325
player4,body,14.770701211772268
player4,body,19.78490456201233
player4,body,22.819959347836917
player4,body,25.661474749361915
player4,body,29.06949200472545
player4,body,31.51403698205582
player4,module4,33.493575949982
player4,finish4,33.62561753496441
player4,body,36.22025504495512
player4,module4,38.26767504209368
player4,finish4,38.31272710530946
player4,module4,46.234936366678745
player4,finish4,46.25543748943166
player4,module4,51.57889789985878
player4,finish4,51.65332811502787
player4,module4,57.480983731553785
player4,finish4,57.670035580905534
player4,module4,61.203950722002965
player4,finish4,61.21431324016558
player4,module4,68.37069905136552
player4,finish4,68.40811760303681
player4,module4,71.92382923570145
player4,finish4,71.95010244978234
