t,s1,t1,s2,t2,s3,t3,s4,t4
59,0,0,0,0,3,1,0,0
60,1,1,1,1,1,1,3,2
60,1,1,0,0,1,1,2,3
60,0,0,0,0,1,2,0,0
60,0,0,0,0,2,2,0,0
61,1,2,1,1,0,0,1,1
61,0,0,1,1,0,0,1,1
61,0,0,1,1,0,0,0,0
62,2,3,1,2,3,2,1,1
62,0,0,2,2,2,3,1,1
62,0,0,0,0,3,2,0,0
62,0,0,0,0,2,3,0,0
63,2,2,3,2,1,1,1,2
63,2,3,2,2,0,0,2,2
63,0,0,2,3,0,0,0,0
63,0,0,3,2,0,0,0,0
64,2,3,0,0,1,1,3,2
64,3,3,0,0,1,1,0,0
64,3,2,0,0,0,0,0,0
65,3,1,0,0,2,2,0,0
65,1,1,0,0,2,3,0,0
65,1,1,0,0,3,2,0,0
65,0,0,0,0,2,3,0,0
66,1,2,0,0,0,0,2,3
66,2,2,0,0,0,0,3,2
67,3,2,3,3,2,3,3,3
67,0,0,3,2,3,2,3,2
67,0,0,0,0,2,3,0,0
68,0,0,3,1,2,3,3,1
68,0,0,0,0,3,2,1,1
68,0,0,0,0,0,0,1,1
69,3,2,1,1,3,3,1,2
69,0,0,1,1,0,0,2,2
70,0,0,2,2,1,1,3,2
70,0,0,2,3,0,0,2,3
70,0,0,0,0,0,0,3,2
70,0,0,0,0,0,0,2,3
70,0,0,0,0,0,0,3,1
70,0,0,0,0,0,0,1,1
71,3,1,0,0,2,2,1,1
71,1,1,0,0,0,0,1,1
71,1,1,0,0,0,0,1,2
72,1,1,2,3,3,1,2,3
72,0,0,3,2,1,2,3,2
72,0,0,2,3,2,3,2,3
73,2,2,1,1,2,3,2,3
73,2,3,1,1,3,1,3,2
73,3,2,0,0,0,0,2,3
74,3,2,1,1,0,0,2,3
74,2,3,0,0,0,0,0,0
74,3,2,0,0,0,0,0,0
74,2,3,0,0,0,0,0,0
74,3,2,0,0,0,0,0,0
74,2,3,0,0,0,0,0,0
75,0,0,2,2,1,1,0,0
75,0,0,0,0,1,1,0,0
76,2,3,0,0,0,0,2,3
76,3,3,0,0,0,0,0,0
76,3,1,0,0,0,0,0,0
76,1,1,0,0,0,0,0,0
77,0,0,3,2,1,1,0,0
77,0,0,2,3,1,1,0,0
77,0,0,3,2,1,2,0,0
77,0,0,0,0,2,2,0,0
77,0,0,0,0,2,3,0,0
78,0,0,3,2,2,3,3,1
78,0,0,2,3,3,2,0,0
78,0,0,3,2,2,3,0,0
78,0,0,0,0,3,2,0,0
78,0,0,0,0,2,3,0,0
79,2,2,0,0,2,3,1,2
79,2,3,0,0,3,2,2,2
80,1,2,3,2,3,1,0,0
80,2,3,2,3,1,2,0,0
80,0,0,3,3,2,3,0,0
80,0,0,0,0,3,4,0,0
81,0,0,1,1,0,0,3,1
81,0,0,0,0,0,0,1,2
81,0,0,0,0,0,0,2,3
81,0,0,0,0,0,0,3,2
81,0,0,0,0,0,0,2,3
82,2,3,2,2,0,0,1,1
82,0,0,0,0,0,0,1,1
83,1,1,0,0,0,0,1,1
83,0,0,0,0,0,0,1,1
84,1,1,3,1,0,0,0,0
84,1,1,1,2,0,0,0,0
84,1,1,0,0,0,0,0,0
85,1,2,0,0,0,0,0,0
85,2,2,0,0,0,0,0,0
86,3,2,3,2,0,0,1,2
86,0,0,2,3,0,0,0,0
87,3,2,1,1,0,0,2,3
87,0,0,0,0,0,0,3,2
87,0,0,0,0,0,0,2,3
88,0,0,1,1,0,0,2,3
88,0,0,1,1,0,0,0,0
88,0,0,1,1,0,0,0,0
88,0,0,1,1,0,0,0,0
89,3,2,0,0,0,0,0,0
90,0,0,2,2,0,0,2,3
90,0,0,0,0,0,0,3,2
90,0,0,0,0,0,0,2,3
90,0,0,0,0,0,0,3,2
91,3,2,3,2,0,0,0,0
91,2,3,2,3,0,0,0,0
91,3,2,3,2,0,0,0,0
91,2,3,0,0,0,0,0,0
92,0,0,3,2,0,0,3,1
92,0,0,2,3,0,0,1,2
92,0,0,0,0,0,0,2,3
92,0,0,0,0,0,0,3,4
93,1,2,2,3,0,0,0,0
93,2,3,0,0,0,0,0,0
93,3,4,0,0,0,0,0,0
95,0,0,2,3,0,0,0,0
95,0,0,3,1,0,0,0,0
95,0,0,1,2,0,0,0,0
95,0,0,2,3,0,0,0,0
