t,s1,t1,s2,t2,s3,t3,s4,t4
46,1,1,0,0,0,0,0,0
46,1,1,0,0,0,0,0,0
47,1,1,3,4,0,0,0,0
47,0,0,4,1,0,0,0,0
47,0,0,1,1,0,0,0,0
47,0,0,1,1,0,0,0,0
48,2,2,1,1,1,2,0,0
48,2,3,0,0,2,3,0,0
48,3,2,0,0,0,0,0,0
48,2,2,0,0,0,0,0,0
49,3,2,2,2,2,3,0,0
49,0,0,2,3,0,0,0,0
49,0,0,3,2,0,0,0,0
49,0,0,2,3,0,0,0,0
49,0,0,3,2,0,0,0,0
50,3,3,3,2,0,0,3,1
50,3,2,2,3,0,0,1,2
50,0,0,3,2,0,0,2,3
50,0,0,2,3,0,0,3,4
51,3,1,2,3,0,0,0,0
51,1,1,0,0,0,0,0,0
52,1,1,3,4,4,1,0,0
52,1,1,4,1,1,2,0,0
52,1,1,1,1,0,0,0,0
52,1,1,1,1,0,0,0,0
52,1,2,0,0,0,0,0,0
53,2,3,1,2,3,2,0,0
53,3,2,2,2,2,3,0,0
53,2,2,0,0,3,4,0,0
54,3,2,3,2,0,0,1,2
54,0,0,2,3,0,0,2,3
54,0,0,3,2,0,0,3,4
54,0,0,2,3,0,0,0,0
54,0,0,3,1,0,0,0,0
55,3,3,1,1,0,0,0,0
55,3,2,1,1,0,0,0,0
55,0,0,1,2,0,0,0,0
56,3,4,2,3,0,0,0,0
56,4,1,3,2,0,0,0,0
56,1,1,2,3,0,0,0,0
56,1,1,3,2,0,0,0,0
56,1,1,2,3,0,0,0,0
56,0,0,3,1,0,0,0,0
56,0,0,1,1,0,0,0,0
57,1,1,0,0,0,0,0,0
57,1,1,0,0,0,0,0,0
57,1,2,0,0,0,0,0,0
57,2,2,0,0,0,0,0,0
57,2,3,0,0,0,0,0,0
57,3,2,0,0,0,0,0,0
58,2,3,1,1,0,0,0,0
58,0,0,1,1,0,0,0,0
58,0,0,1,2,0,0,0,0
58,0,0,2,2,0,0,0,0
58,0,0,2,3,0,0,0,0
58,0,0,3,2,0,0,0,0
58,0,0,2,3,0,0,0,0
58,0,0,3,2,0,0,0,0
59,2,3,3,2,0,0,0,0
59,3,3,2,3,0,0,0,0
59,3,2,3,2,0,0,0,0
60,3,1,3,2,1,2,0,0
60,1,1,2,3,0,0,0,0
60,1,1,3,3,0,0,0,0
60,0,0,3,4,0,0,0,0
61,1,1,0,0,0,0,0,0
61,1,1,0,0,0,0,0,0
62,1,2,0,0,3,2,1,2
62,2,2,0,0,2,3,2,3
62,0,0,0,0,3,4,3,4
63,3,2,0,0,0,0,0,0
63,2,2,0,0,0,0,0,0
63,2,3,0,0,0,0,0,0
63,3,2,0,0,0,0,0,0
64,3,3,0,0,0,0,0,0
64,3,2,0,0,0,0,0,0
64,2,3,0,0,0,0,0,0
65,4,1,1,1,0,0,0,0
65,1,1,1,1,0,0,0,0
65,1,1,0,0,0,0,0,0
65,1,1,0,0,0,0,0,0
65,1,1,0,0,0,0,0,0
65,1,1,0,0,0,0,0,0
66,1,2,1,1,0,0,0,0
66,2,2,1,2,0,0,0,0
66,2,3,2,2,0,0,0,0
66,3,2,0,0,0,0,0,0
66,2,2,0,0,0,0,0,0
66,2,3,0,0,0,0,0,0
67,2,3,3,2,0,0,0,0
67,3,3,0,0,0,0,0,0
67,3,2,0,0,0,0,0,0
68,3,1,3,2,0,0,0,0
68,1,1,2,3,0,0,0,0
68,1,1,3,2,0,0,0,0
68,1,1,2,3,0,0,0,0
68,0,0,3,2,0,0,0,0
69,1,1,3,2,0,0,0,0
69,1,1,2,3,0,0,0,0
69,1,2,3,3,0,0,0,0
69,2,2,0,0,0,0,0,0
69,2,3,0,0,0,0,0,0
70,2,2,0,0,1,2,1,2
70,2,3,0,0,2,3,2,3
70,3,2,0,0,3,2,0,0
70,2,3,0,0,2,3,0,0
70,0,0,0,0,3,4,0,0
71,3,2,4,1,0,0,0,0
71,2,3,1,1,0,0,0,0
71,3,4,1,1,0,0,0,0
71,4,1,1,1,0,0,0,0
71,1,1,0,0,0,0,0,0
71,1,1,0,0,0,0,0,0
72,1,1,1,2,0,0,0,0
72,0,0,2,2,0,0,0,0
72,0,0,2,3,0,0,0,0
72,0,0,3,2,0,0,0,0
73,0,0,3,2,0,0,0,0
73,0,0,2,3,0,0,0,0
73,0,0,3,2,0,0,0,0
73,0,0,2,3,0,0,0,0
74,1,1,2,3,0,0,0,0
74,1,2,3,2,0,0,0,0
74,2,2,2,3,0,0,0,0
74,0,0,3,3,0,0,0,0
75,3,2,0,0,1,2,0,0
76,2,3,0,0,3,2,4,1
76,3,2,0,0,2,3,1,2
76,0,0,0,0,3,4,2,3
76,0,0,0,0,0,0,3,4
77,0,0,0,0,0,0,0,0
78,3,3,0,0,0,0,0,0
