player,action,time_stamp
player1,SpawnPart,0.09022960818310721
player1,SpawnPart,0.1619654416994024
player3,SpawnPart,0.38414705759982704
player2,SpawnPart,0.400417770501774
player4,SpawnPart,0.7571116227531658
player4,SpawnPart,1.0861160817803701
player1,SpawnPart,1.7635275919379034
player3,SpawnPart,1.8681440980124195
player1,SpawnPart,1.9792056653991856
player2,SpawnPart,2.1614045722185353
player3,TeleportPart,2.824789797264386
player3,TeleportPart,2.9710788186501107
player2,SpawnPart,3.218044040294468
player1,SpawnPart,3.2300613290730205
player1,SpawnPart,3.291808482473539
player4,SpawnPart,3.70456969462825
player1,SpawnPart,3.749537191879438
player1,TeleportPart,4.117429131735897
player1,TeleportPart,4.198276463526349
player4,SpawnPart,4.201422926183485
player4,SpawnPart,4.311846612440044
player2,SpawnPart,4.333717626081218
player4,SpawnPart,4.425365801105501
player1,Assemble,4.433081882442313
player3,Assemble,4.557014092995821
player1,TeleportPart,4.6357248438414596
player1,TeleportPart,4.7205409009696275
player3,SpawnPart,4.832048343664208
player3,SpawnPart,5.0424132538322
player3,TeleportPart,5.201541689142559
player4,SpawnPart,5.323935264442865
player3,TeleportPart,5.402095959301294
player4,TeleportPart,5.426323734697778
player1,Assemble,5.583492037983777
player1,TeleportPart,5.588881976069496
player3,Assemble,5.7621323505205995
player2,TeleportPart,5.820047176581302
player3,SpawnPart,5.8839997459047675
player2,TeleportPart,5.899293977935069
player1,Assemble,5.981205663912087
player1,Assemble,5.981429385167663
player3,SpawnPart,6.069333259031206
player1,TeleportPart,6.170342543572548
player4,TeleportPart,6.308118234477702
player4,Assemble,6.412027529872536
player2,Assemble,6.643801789575706
player3,TeleportPart,6.660547231484943
player2,TeleportPart,6.696319267129078
player4,TeleportPart,6.7271599803934095
player4,Assemble,6.86505474253647
player4,TeleportPart,6.906284397751659
player3,TeleportPart,7.535889833665946
player1,Assemble,7.67026451620419
player3,Assemble,7.883315533872077
player1,SpawnPart,7.906027571827377
player3,SpawnPart,8.092300181617595
player1,SpawnPart,8.121753136637539
player3,SpawnPart,8.330986165783871
player2,Assemble,8.552574152344643
player1,SpawnPart,8.707779163764172
player3,TeleportPart,8.787010212473247
player2,TeleportPart,8.826324971242528
player1,SpawnPart,8.973503710658152
player2,Assemble,9.015702349643213
player2,SpawnPart,9.54400791723398
player2,SpawnPart,9.651023261917606
player1,SpawnPart,9.671191513008349
player1,SpawnPart,9.716583584852955
player4,Assemble,9.76771896723398
player2,SpawnPart,10.150240120760484
player1,SpawnPart,10.475606589165416
player4,TeleportPart,10.561871914238187
player2,SpawnPart,10.594682442500366
