player,action,time_stamp
player1,SpawnPart,0.03409203067588493
player3,SpawnPart,0.4914478072623947
player4,SpawnPart,0.6020948745136443
player1,SpawnPart,0.7561040269980933
player2,SpawnPart,1.1907108714036951
player4,SpawnPart,1.3073197268668526
player3,SpawnPart,1.3089149479167446
player1,SpawnPart,1.3090184223112256
player4,SpawnPart,2.1782413134560445
player4,SpawnPart,2.3055167058842154
player1,SpawnPart,2.3379789177437953
player2,SpawnPart,2.3965130529246577
player2,SpawnPart,2.5305669037618
player1,SpawnPart,2.5999280243838316
player1,SpawnPart,2.7257275222816872
player3,TeleportPart,2.7843749810804876
player3,TeleportPart,3.16102708928845
player3,Assemble,3.1785965930323776
player2,SpawnPart,3.2860000644157186
player1,SpawnPart,3.429548700797336
player2,TeleportPart,3.637224291746195
player1,TeleportPart,3.6460845653887843
player4,SpawnPart,3.8903595260252533
player1,TeleportPart,3.9452443493910287
player1,Assemble,4.258512125925027
player3,SpawnPart,4.277469665875
player3,SpawnPart,4.279084300103713
player4,SpawnPart,4.496976311233443
player1,TeleportPart,4.653448378549416
player3,TeleportPart,4.770264018337528
player3,TeleportPart,4.778022442775453
player3,Assemble,4.9581200085106465
player3,SpawnPart,4.973531497073218
player4,SpawnPart,5.256298667598833
player2,TeleportPart,5.359164222625717
player4,TeleportPart,5.588508250263361
player4,TeleportPart,5.699537314797938
player4,Assemble,5.783275301206858
player1,TeleportPart,5.784581665799804
player2,Assemble,5.9426895337063605
player2,TeleportPart,6.336989965147409
player3,SpawnPart,6.6194770194913435
player3,TeleportPart,6.735766497727864
player4,TeleportPart,6.9089749220821135
player3,TeleportPart,7.311927069106836
player1,Assemble,7.324102189367254
player1,TeleportPart,7.464043836049876
player4,Assemble,7.817532041189437
player3,Assemble,7.8185996943000715
player3,SpawnPart,7.821927530336077
player3,SpawnPart,7.889368519849891
player4,TeleportPart,8.021479844964695
player1,Assemble,8.443625984177245
player3,TeleportPart,8.46272687288352
player1,Assemble,9.207993531094445
player4,Assemble,9.527163356110663
player3,TeleportPart,9.535930529986155
player3,Assemble,10.129170873188356
player1,TeleportPart,10.33054649036289
player4,TeleportPart,10.441988763454923
player4,Assemble,10.458460297259618
player1,Assemble,11.273465240215057
player2,Assemble,11.455276181092533
player4,TeleportPart,11.598999977028427
player3,SpawnPart,11.733500445366623
player2,TeleportPart,11.846665333533727
player3,SpawnPart,12.182845150344258
player1,SpawnPart,12.298346407304777
player1,SpawnPart,12.299559055515894
player1,SpawnPart,12.497855783053414
player2,Assemble,12.770294238405791
player3,TeleportPart,13.198665266596826
player1,SpawnPart,13.36656715264538
player1,SpawnPart,13.401609114843641
player1,SpawnPart,13.507264444620962
player3,TeleportPart,13.719579010592701
player1,SpawnPart,13.893751193343824
player1,TeleportPart,13.94032481796644
player4,Assemble,14.047749962768052
player2,SpawnPart,14.105318329649961
player2,SpawnPart,14.110954916274052
player2,SpawnPart,14.188002600939713
player2,SpawnPart,14.409060531563327
player2,TeleportPart,14.475263873429803
player1,TeleportPart,14.56736999643321
player1,Assemble,14.613594939824631
player2,TeleportPart,14.802101131322468
player3,Assemble,15.097044940558177
player3,SpawnPart,15.116924020019866
player2,Assemble,15.12261124462569
player2,TeleportPart,15.135960272824667
player3,SpawnPart,15.188979344185446
player1,TeleportPart,15.24490015567649
player3,TeleportPart,15.270397558754002
player3,TeleportPart,15.382471827458271
player3,Assemble,15.401636934976995
player3,SpawnPart,15.462222902765971
player4,TeleportPart,15.64672838121993
player3,SpawnPart,15.87093308722252
player4,Assemble,16.075543475463565
player1,TeleportPart,16.276671334826933
player4,SpawnPart,16.29369454142619
player4,SpawnPart,16.32771591358681
player1,Assemble,16.423796085283723
player4,SpawnPart,16.647145415147925
player3,TeleportPart,16.69065212532759
player2,Assemble,16.77253030337569
player3,TeleportPart,16.805302099368035
player2,TeleportPart,16.810796568939143
player1,TeleportPart,16.83034516208422
player2,Assemble,17.03459056512134
player2,SpawnPart,17.213984544755906
player1,Assemble,17.25217396311071
player4,SpawnPart,17.32606425705657
player3,Assemble,17.37435279943218
player3,SpawnPart,17.54123726342483
player3,SpawnPart,17.649619741290596
player1,Assemble,17.720664237262806
player3,TeleportPart,17.85773712478694
player3,TeleportPart,17.930989833202222
player1,TeleportPart,17.97483053730557
player3,Assemble,18.00397933006254
player2,SpawnPart,18.043615074635746
player4,SpawnPart,18.04608214658075
player2,SpawnPart,18.149161611239922
player2,SpawnPart,18.176931212402927
player1,Assemble,18.417057934885584
player2,TeleportPart,18.60595624665595
player2,TeleportPart,18.635123675729172
player4,SpawnPart,18.647360896808678
player1,Pass,18.78497932111078
player1,SpawnPart,19.103123513102016
player2,Assemble,19.51389908683393
player2,TeleportPart,19.6448573217445
player1,SpawnPart,20.01300246922067
player1,SpawnPart,20.456789970515462
player2,Assemble,20.93192642913835
player2,TeleportPart,21.173695448727926
player1,SpawnPart,21.601185644849423
player2,Assemble,21.77816901570099
player2,SpawnPart,21.87778061490132
player1,SpawnPart,22.330033403133854
player1,SpawnPart,22.401038640904513
player2,SpawnPart,22.465083758798105
player1,SpawnPart,22.860291259529816
player2,SpawnPart,23.044305987151333
player1,TeleportPart,23.260736745102914
player1,TeleportPart,23.335265297841918
player2,SpawnPart,23.485920447180543
player4,SpawnPart,23.521700527183597
player2,SpawnPart,23.98637024867369
player2,TeleportPart,24.196398707909125
player4,TeleportPart,24.26937925958093
player1,Assemble,24.312805082179906
player4,TeleportPart,24.451934741545497
player1,TeleportPart,24.58342869928301
player1,TeleportPart,24.63574823501273
player4,Assemble,24.751407335197136
player1,Assemble,25.02134552176193
player1,TeleportPart,25.108010216882647
player2,TeleportPart,25.13019798573306
player2,Assemble,25.378276380584587
player4,TeleportPart,25.52797677435953
player1,Assemble,25.53332252215987
player2,TeleportPart,25.636371760067345
player4,Assemble,25.81200698322543
player2,Assemble,26.045975096855813
player4,TeleportPart,26.144945645814705
player2,TeleportPart,26.722174287109407
player4,Assemble,27.09471911342791
player2,Assemble,27.106464688611222
player1,Assemble,27.194570603507202
player4,TeleportPart,27.42321523524541
player2,TeleportPart,27.72515812659109
player4,Assemble,27.89837135052335
player1,TeleportPart,28.30658286089328
player2,Assemble,28.490206657511635
player2,TeleportPart,28.845136339659813
player1,Assemble,28.976076262656235
player1,SpawnPart,29.453674793343804
player2,Assemble,29.932184324199522
player4,TeleportPart,29.990597090748075
player1,SpawnPart,30.256012161490755
player2,TeleportPart,30.41358791123705
player2,Assemble,30.726707146653258
player1,SpawnPart,31.1003823457281
player1,SpawnPart,31.10368931465505
player1,SpawnPart,31.14120040032246
player1,SpawnPart,31.48280327232959
player1,SpawnPart,31.49008209679102
player1,TeleportPart,31.866772980898357
player1,TeleportPart,31.980449510522494
player2,Assemble,32.31134669891091
player2,Pass,32.34625059216611
player2,SpawnPart,32.40238019038997
player2,SpawnPart,32.68452151158677
player3,SpawnPart,32.732694297471056
player1,Assemble,32.751872437837186
player4,Assemble,32.85647205258219
player4,TeleportPart,33.07612397665403
player3,TeleportPart,33.127340557344354
player3,Assemble,33.24334431672598
player1,TeleportPart,33.43607217343759
player4,Assemble,33.52754085903376
player2,SpawnPart,33.76514365797504
player1,TeleportPart,33.7807807370564
player3,TeleportPart,34.4233706664152
player2,SpawnPart,34.47718502779429
player2,TeleportPart,34.556340009553104
player2,TeleportPart,34.72818018966584
player2,Assemble,34.786474221772245
player2,TeleportPart,35.0702889478356
player2,Assemble,35.284679868617694
player4,SpawnPart,35.3513301838161
player3,Assemble,35.410611797978994
player1,Assemble,35.54793202713835
player4,SpawnPart,35.57419110893398
player1,TeleportPart,35.59536072872674
player1,Assemble,35.6030638301654
player3,Pass,35.63527403128222
player2,TeleportPart,35.669856388507014
player2,Assemble,35.76687552412346
player4,SpawnPart,35.83606333878847
player4,SpawnPart,35.94971419991066
player4,SpawnPart,35.97919469757371
player2,SpawnPart,36.114516689327125
player4,SpawnPart,36.21011429372671
player4,SpawnPart,36.32379586137971
player4,TeleportPart,36.66207465142541
player4,TeleportPart,36.8622560434875
player2,SpawnPart,37.16146298226897
player1,Assemble,37.16706126003218
player2,SpawnPart,37.17910625588522
player1,TeleportPart,37.25170952716399
player2,SpawnPart,37.27819819544994
player2,TeleportPart,37.36897368423054
player1,Assemble,37.39875987046099
player1,Pass,37.41613708820819
player2,TeleportPart,37.46347691648249
player4,Assemble,37.863330754858474
player2,Assemble,37.961713945240476
player1,SpawnPart,38.0355818473235
player1,SpawnPart,38.275564737731706
player1,SpawnPart,38.30681829546296
player2,TeleportPart,38.31283066164523
player1,SpawnPart,38.596265741452974
player4,TeleportPart,38.615508568831906
player2,Assemble,38.943408759239325
player4,Assemble,39.035120900047694
player2,TeleportPart,39.09275850314943
player1,SpawnPart,39.281019734330464
player4,TeleportPart,39.44340646470325
player1,SpawnPart,39.53210329287453
player1,SpawnPart,39.83335002509678
player2,Assemble,40.02509849700773
player4,Assemble,40.1114411792084
player1,TeleportPart,40.253932485743775
player2,SpawnPart,40.28500388188328
player4,TeleportPart,40.36968419757397
player1,TeleportPart,40.38720836419132
player4,Assemble,40.80100681432138
player4,TeleportPart,40.83192953258019
player2,SpawnPart,40.87690020573712
player4,Assemble,41.14289396310605
player1,Assemble,41.14783144771087
player2,SpawnPart,41.15841611987837
player4,TeleportPart,41.212646401001386
player2,SpawnPart,41.217756746487105
player1,TeleportPart,41.25731611453412
player2,SpawnPart,41.40896878678668
player1,TeleportPart,42.049292393483974
player2,TeleportPart,42.08771457176156
player2,TeleportPart,42.230400617397706
player2,Assemble,42.40694586326482
player2,TeleportPart,42.46254731224592
player4,Assemble,42.62440083110085
player4,SpawnPart,42.87396277606447
player4,TeleportPart,43.11686933612445
player4,Assemble,43.84167526602189
player4,Pass,44.04000433576515
player4,SpawnPart,44.56158325924568
player4,SpawnPart,44.593347083761635
player4,SpawnPart,44.6687231385508
player2,Assemble,44.81757048680012
player2,TeleportPart,44.92061213274395
player4,SpawnPart,45.29858293968845
player2,Assemble,45.56118237690654
player2,TeleportPart,45.81440942430678
player1,Assemble,45.919401015541574
player2,Assemble,45.981781578266094
player4,SpawnPart,46.42689726040204
player1,TeleportPart,46.57146290869685
player2,TeleportPart,46.669808273970595
player4,SpawnPart,47.16586362458296
player2,Assemble,47.346602807598735
player2,TeleportPart,47.43007066453602
player2,Assemble,47.778892043845055
player4,SpawnPart,47.80569371305389
player1,Assemble,48.038092983898615
player2,Assemble,48.207837747611045
player2,Pass,48.261154965567165
player4,TeleportPart,48.29013657908213
player4,TeleportPart,48.290411896925626
player3,SpawnPart,48.302350738944526
player1,Assemble,48.44979956395108
player3,TeleportPart,48.9963679752933
player2,SpawnPart,49.02406630490854
player3,Assemble,49.025756410092235
player2,SpawnPart,49.09162970157081
player3,TeleportPart,49.25448063671237
player2,SpawnPart,49.38284502527736
player1,TeleportPart,49.47214801221521
player2,SpawnPart,49.992187380378475
player1,Assemble,50.13159404716254
player1,SpawnPart,50.16259729529593
player4,Assemble,50.24285505173108
player1,SpawnPart,50.294171456041546
player2,TeleportPart,50.32272434719986
player3,Assemble,50.40228779005042
player2,TeleportPart,50.52991313324296
player3,Pass,50.53214840358121
player4,TeleportPart,50.843785365229415
player4,Assemble,51.1182055364892
player2,Assemble,51.17655781931407
player4,TeleportPart,51.21212716217692
player2,TeleportPart,51.24159162924424
player1,SpawnPart,51.26889939160426
player1,SpawnPart,51.355328239705955
player1,SpawnPart,51.52033391886038
player2,Assemble,51.73357413040372
player1,SpawnPart,51.80379841723398
player2,TeleportPart,51.865530634881594
player2,Assemble,51.99310224364901
player1,SpawnPart,52.12742602573967
player2,SpawnPart,52.1656296195131
player2,SpawnPart,52.17975997785304
player2,SpawnPart,52.285662927052705
player2,SpawnPart,52.32980912059805
player2,TeleportPart,52.3907234989942
player4,Assemble,52.770078834400664
player1,TeleportPart,52.85581523179084
player2,TeleportPart,52.976057054277405
player4,TeleportPart,53.2561869865839
player1,TeleportPart,53.45472809248743
player4,Assemble,53.54832528181966
player4,TeleportPart,53.84192261560919
player4,Assemble,54.05828154704346
player2,Assemble,54.600957005418984
player4,TeleportPart,54.937420683417876
player1,Assemble,55.1983855554192
player1,TeleportPart,55.26869420615014
player2,TeleportPart,55.32431972872636
player1,TeleportPart,55.45460668948887
player2,Assemble,55.55768232124993
player1,Assemble,55.71627739532652
player1,TeleportPart,55.75276496663683
player2,TeleportPart,55.82976778234067
player4,Assemble,56.32503075806365
player4,SpawnPart,56.3395460027651
player1,Assemble,56.54344171017823
player4,TeleportPart,56.62435369679423
